Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Hematoxylin OD mean	Cell: Hematoxylin OD std dev	Cell: Hematoxylin OD max	Cell: Hematoxylin OD min	Cell: Eosin OD mean	Cell: Eosin OD std dev	Cell: Eosin OD max	Cell: Eosin OD min	Cytoplasm: Hematoxylin OD mean	Cytoplasm: Hematoxylin OD std dev	Cytoplasm: Hematoxylin OD max	Cytoplasm: Hematoxylin OD min	Cytoplasm: Eosin OD mean	Cytoplasm: Eosin OD std dev	Cytoplasm: Eosin OD max	Cytoplasm: Eosin OD min	Nucleus/Cell area ratio
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1581	1175.4	24.93	21.3349	0.6883	7.1959	5.7688	0.5205	0.6084	172.7805	0.2613	1.2002	0.1912	1.009	0.0642	18.2461	0.0888	0.2268	-0.1271	0.3539	105.39	38.4569	0.8955	13.1031	11.021	0.4786	0.1986	0.2735	1.2002	-0.1035	0.1345	0.0958	0.2959	-0.1271	0.068	0.0796	0.3376	-0.1035	0.1569	0.0867	0.2959	-0.0803	0.2354
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1660.2	1175	12.96	13.166	0.9395	4.681	3.7445	0.5843	0.9521	139.9528	0.2941	1.5634	0.3099	1.2535	-0.0608	-8.9434	0.1221	0.2083	-0.305	0.5133	33.39	21.9011	0.8748	7.7902	5.8396	0.5011	0.4323	0.4734	1.5634	-0.1016	0.0473	0.1416	0.3582	-0.305	0.0972	0.161	0.5887	-0.1016	0.1171	0.1048	0.3582	-0.0535	0.3819
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1499.3	1175.1	13.05	14.3734	0.7938	5.3888	3.288	0.7993	0.4272	63.6564	0.0923	0.5969	0.2296	0.3673	0.1451	21.6189	0.0382	0.2529	0.0037	0.2492	44.91	24.5869	0.9336	8.6502	7.1811	0.4857	0.2515	0.1531	0.5969	-0.0008	0.1832	0.0427	0.2979	0.0037	0.1775	0.1061	0.4615	-0.0008	0.1992	0.0333	0.2979	0.1018	0.2888
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1597.8	1176.8	17.73	15.6148	0.9138	5.3252	4.3544	0.5031	0.6712	135.582	0.2626	1.2773	0.2033	1.074	-0.0768	-15.5081	0.1203	0.1379	-0.4193	0.5572	59.49	28.8125	0.9005	9.88	7.6573	0.6068	0.248	0.3244	1.2773	-0.0639	0.0028	0.0977	0.1904	-0.4193	0.063	0.0922	0.4091	-0.0639	0.0375	0.0585	0.1904	-0.1638	0.2964
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1524.4	1176.6	17.01	16.4094	0.7938	6.3506	3.659	0.8415	0.5563	106.8015	0.2168	1.0237	0.1827	0.841	0.1201	23.065	0.092	0.2986	-0.0787	0.3773	52.47	29.3988	0.7629	11.4367	7.0461	0.7899	0.2051	0.2932	1.0237	-0.1148	0.2105	0.0967	0.3642	-0.0787	0.0349	0.1267	0.5103	-0.1148	0.2544	0.0626	0.3642	0.014	0.3146
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1591.3	1179.8	23.31	19.8556	0.743	7.5955	4.0853	0.8656	0.5095	134.0079	0.1576	0.7669	0.1944	0.5726	0.0631	16.5918	0.0578	0.1999	-0.0756	0.2755	81.72	35.7308	0.8044	13.3836	7.9493	0.8106	0.2255	0.2124	0.7669	-0.0573	0.1374	0.0703	0.2884	-0.0756	0.1102	0.0855	0.4889	-0.0573	0.1676	0.0495	0.2884	0.0045	0.2855
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1628.8	1178.4	16.74	15.5012	0.8755	5.4805	3.8134	0.729	0.4353	82.7094	0.2818	1.2554	-0.0544	1.3098	0.048	9.1259	0.1081	0.2927	-0.2449	0.5376	86.76	33.6775	0.9613	11.403	9.3	0.5165	0.0837	0.2185	1.2554	-0.1008	0.0763	0.0907	0.2962	-0.2449	-0.0023	0.0487	0.1767	-0.1008	0.0833	0.0846	0.2962	-0.0805	0.1876
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1492	1178.7	17.37	16.558	0.7961	5.8455	3.918	0.7364	0.5321	105.3625	0.1204	0.7482	0.2185	0.5297	0.1257	24.8867	0.0449	0.218	0.0105	0.2074	54.63	28.995	0.8166	10.1248	8.201	0.4243	0.2838	0.2117	0.7482	-0.0349	0.1909	0.0596	0.3068	0.0105	0.1641	0.1239	0.7132	-0.0349	0.2223	0.0355	0.3068	0.0641	0.3201
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1504.5	1179.6	13.68	15.186	0.7454	5.9909	3.5929	0.7752	0.7211	113.9414	0.1335	0.9304	0.4342	0.4962	0.0662	10.4667	0.0486	0.1911	-0.0252	0.2163	30.6	22.0753	0.7891	8.5642	5.2326	0.7227	0.5629	0.1905	0.9304	0.1428	0.0835	0.06	0.2922	-0.055	0.4278	0.1113	0.6309	0.1428	0.0982	0.0648	0.2922	-0.055	0.4566
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1658.6	1181.5	14.85	14.3647	0.9044	5.2396	3.8602	0.6526	0.7335	123.9542	0.281	1.3113	0.1112	1.2001	0.0746	12.5995	0.1057	0.2963	-0.1618	0.4581	53.73	27.5407	0.8902	9.6719	7.1434	0.622	0.2783	0.3813	1.3113	-0.1206	0.1594	0.1266	0.3709	-0.3347	0.1003	0.2422	1.1686	-0.1206	0.1925	0.1185	0.3709	-0.3347	0.2744
