id,X,Y,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Hematoxylin OD mean,Nucleus: Hematoxylin OD sum,Nucleus: Hematoxylin OD std dev,Nucleus: Hematoxylin OD max,Nucleus: Hematoxylin OD min,Nucleus: Hematoxylin OD range,Nucleus: Eosin OD mean,Nucleus: Eosin OD sum,Nucleus: Eosin OD std dev,Nucleus: Eosin OD max,Nucleus: Eosin OD min,Nucleus: Eosin OD range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Hematoxylin OD mean,Cell: Hematoxylin OD std dev,Cell: Hematoxylin OD max,Cell: Hematoxylin OD min,Cell: Eosin OD mean,Cell: Eosin OD std dev,Cell: Eosin OD max,Cell: Eosin OD min,Cytoplasm: Hematoxylin OD mean,Cytoplasm: Hematoxylin OD std dev,Cytoplasm: Hematoxylin OD max,Cytoplasm: Hematoxylin OD min,Cytoplasm: Eosin OD mean,Cytoplasm: Eosin OD std dev,Cytoplasm: Eosin OD max,Cytoplasm: Eosin OD min,Nucleus/Cell area ratio,cell_count
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,8.0,3180.1238095238095,1101.279365079365,20.40142857142857,17.96245238095238,0.7927650793650795,6.834574603174603,4.038850793650793,0.7452523809523809,0.5871095238095237,133.1385476190476,0.2036936507936508,1.0204444444444445,0.17586190476190475,0.8445857142857143,0.0923126984126984,22.723658730158732,0.08144285714285715,0.26067142857142855,-0.13016825396825396,0.39084761904761905,66.12428571428572,31.20199365079365,0.8272634920634921,11.380195238095238,7.800679365079365,0.6858047619047619,0.2442063492063492,0.28113174603174607,1.0227031746031747,-0.10551587301587302,0.17295714285714286,0.10264603174603175,0.3693492063492063,-0.13939047619047618,0.08479841269841269,0.12744761904761903,0.5786111111111111,-0.10551587301587302,0.21033650793650793,0.08313968253968254,0.3693492063492063,-0.03063015873015873,0.30785714285714283,63
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,9.0,3184.7104395604397,1186.8857142857144,20.79642857142857,17.80072637362637,0.8222368131868132,6.657869780219779,4.239648351648351,0.7232076923076922,0.6502714285714286,149.57402967032965,0.19496703296703297,1.0571082417582418,0.2431642857142857,0.8139384615384615,0.07716263736263736,19.97643406593407,0.07788021978021978,0.24381208791208792,-0.13309725274725276,0.3769093406593406,65.01510989010988,30.96067967032967,0.8351879120879121,11.286784065934066,7.862608791208791,0.6759516483516483,0.2906021978021978,0.29589945054945055,1.057346153846154,-0.0955021978021978,0.15796703296703296,0.10531868131868131,0.3614142857142857,-0.14818516483516483,0.11321593406593407,0.12768241758241758,0.534767032967033,-0.0955021978021978,0.19799615384615385,0.08567527472527472,0.3614142857142857,-0.04896373626373626,0.3185153846153846,182
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,10.0,3182.4593939393944,1308.9521212121213,21.67090909090909,18.31121090909091,0.8101957575757576,6.803109696969696,4.350103030303031,0.7280939393939394,0.5881460606060606,147.3293684848485,0.1861078787878788,0.983719393939394,0.2090018181818182,0.7747169696969697,0.1101090909090909,26.758320606060607,0.07940181818181818,0.27421999999999996,-0.11206424242424243,0.38628545454545454,68.98854545454546,31.70328181818182,0.8438399999999999,11.442694545454545,8.166574545454544,0.646849696969697,0.2559551515151515,0.27398848484848487,0.9886145454545454,-0.10687696969696969,0.18241030303030303,0.10151878787878788,0.38102848484848484,-0.1299860606060606,0.09576666666666667,0.1210418181818182,0.4963490909090909,-0.10687696969696969,0.21760787878787877,0.08495151515151515,0.38102848484848484,-0.03653939393939394,0.31153878787878786,165
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,11.0,3165.132692307692,1414.4192307692308,23.12826923076923,19.424259615384617,0.7905307692307691,7.437861538461538,4.288861538461538,0.7558923076923078,0.6160865384615384,159.74877692307695,0.19741538461538463,1.014071153846154,0.2045673076923077,0.809501923076923,0.1194423076923077,33.06846538461538,0.08161923076923078,0.29698846153846153,-0.09890576923076924,0.3958884615384616,76.91365384615385,33.6346,0.8404211538461539,12.213071153846155,8.514855769230769,0.6398153846153847,0.2632807692307692,0.2830942307692308,1.0271826923076923,-0.10723461538461539,0.2149903846153846,0.10622115384615385,0.4033076923076923,-0.12047884615384616,0.10205384615384615,0.12200000000000001,0.5211480769230769,-0.10723461538461539,0.2581038461538462,0.0789326923076923,0.4033076923076923,-0.013280769230769231,0.300425,52
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,12.0,3171.203125,1591.884375,22.11890625,18.5103625,0.8160125,6.9085625,4.3194015625,0.7051515625,0.4779,120.234109375,0.180853125,0.8494171875,0.127503125,0.7219140625,0.1354890625,34.72884375,0.07296875,0.294840625,-0.05334375,0.3481859375,79.9425,33.7327140625,0.864571875,12.1089703125,8.6882296875,0.6465703125,0.1535328125,0.241725,0.8557546874999999,-0.1168265625,0.1964734375,0.08968125,0.376890625,-0.0698109375,0.02406875,0.0942984375,0.3578234375,-0.1168265625,0.220925,0.0752859375,0.3768296875,0.001893750000000001,0.2736453125,64
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,13.0,3174.7396825396827,1673.3936507936507,23.86285714285714,18.963596825396824,0.8202015873015873,7.0498,4.485139682539683,0.705188888888889,0.4244476190476191,112.51749523809524,0.15816190476190475,0.7628301587301588,0.10708888888888889,0.6557460317460317,0.17155238095238096,48.406333333333336,0.0633047619047619,0.3116079365079365,0.005934920634920635,0.3056809523809524,81.16142857142857,33.86387619047619,0.8652142857142857,12.15359365079365,8.772328571428572,0.6363603174603174,0.1428777777777778,0.21571428571428572,0.7633698412698413,-0.11965555555555556,0.2418920634920635,0.08303174603174603,0.4027904761904762,-0.01421111111111111,0.02366666666666667,0.08692063492063493,0.33086984126984126,-0.11965555555555556,0.27123492063492066,0.06549047619047618,0.40236666666666665,0.06331587301587302,0.2885079365079365,63
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,14.0,3176.759793814433,1803.521649484536,21.92659793814433,17.876003092783503,0.851180412371134,6.546541237113402,4.439970103092784,0.6649061855670104,0.5171381443298969,127.0837175257732,0.19018969072164948,0.9034680412371133,0.14215773195876288,0.7613113402061856,0.13310515463917527,33.920741237113404,0.07269896907216494,0.29363505154639175,-0.047056701030927836,0.3406896907216495,77.60134020618557,32.91987731958763,0.877479381443299,11.723742268041237,8.691626804123711,0.6147278350515464,0.17198762886597938,0.2548020618556701,0.9045577319587628,-0.11121958762886597,0.19290103092783506,0.09154329896907216,0.37628969072164953,-0.06867835051546392,0.031305154639175256,0.09036494845360825,0.3669298969072165,-0.11121958762886597,0.21705670103092783,0.08014948453608248,0.3760432989690721,0.006963917525773196,0.28114123711340205,97
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,15.0,3195.6248484848484,1931.780606060606,20.822727272727274,17.66257393939394,0.8327357575757576,6.5244096969696965,4.251450303030302,0.7062969696969698,0.6564630303030303,152.68592666666666,0.18656787878787878,1.0339181818181817,0.2584381818181818,0.7754818181818182,0.09548727272727273,24.62856484848485,0.07806909090909091,0.26487212121212117,-0.11521696969696969,0.3800781818181818,65.65745454545454,31.050414545454547,0.8390060606060606,11.145953939393939,8.024658787878789,0.6442787878787879,0.29244060606060607,0.2915030303030303,1.0353151515151515,-0.09645636363636363,0.1812527272727273,0.10376666666666667,0.3868018181818182,-0.12887575757575756,0.12140787878787879,0.12777636363636366,0.5290381818181819,-0.09645636363636363,0.22190848484848483,0.08180181818181817,0.3867006060606061,-0.02348181818181818,0.31132242424242423,165
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,16.0,3193.304918032787,2059.9021857923494,21.55032786885246,18.30257595628415,0.8129704918032786,6.855040983606558,4.256136612021858,0.7227967213114754,0.6751109289617486,165.50338579234972,0.1748830601092896,1.0379142076502732,0.3063469945355191,0.7315737704918032,0.10284918032786886,25.550958469945353,0.06974699453551912,0.25591639344262296,-0.08459453551912569,0.34050928961748633,67.09131147540982,31.474597814207648,0.833596174863388,11.445185792349728,7.985677049180327,0.6562595628415301,0.3337513661202186,0.2833934426229508,1.0440371584699453,-0.0842688524590164,0.18717540983606556,0.10091147540983605,0.3799704918032787,-0.10764590163934427,0.16762185792349726,0.1388912568306011,0.5969934426229508,-0.0842688524590164,0.22906010928961748,0.07866338797814208,0.3799704918032787,-0.01818087431693989,0.3183846994535519,183
14AH00754-1-H&E-PYN-Lvl-1.txt,25.0,17.0,3190.2574257425745,2186.926237623762,19.83876237623762,17.218161881188117,0.8365217821782178,6.349411881188119,4.20155297029703,0.6905158415841584,0.7056767326732672,160.20114455445545,0.18427128712871288,1.075059405940594,0.31378168316831684,0.7612806930693069,0.0951490099009901,20.936088613861386,0.07117673267326732,0.2551980198019802,-0.0911549504950495,0.34635247524752477,61.88346534653465,30.204791584158418,0.8349227722772278,10.940188118811882,7.7541415841584165,0.6512465346534653,0.34743514851485147,0.2985990099009901,1.0790450495049504,-0.08449158415841584,0.1855569306930693,0.10523960396039604,0.38779653465346536,-0.11367524752475247,0.17055940594059407,0.1432148514851485,0.6055346534653465,-0.08449158415841584,0.23087524752475247,0.0808361386138614,0.38779653465346536,-0.01713960396039604,0.31976831683168316,202
